age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
15,0,5,11,8,1,10,5,0,0,0,0,10,0,0
16,0,6,11,8,1,8,5,0,0,0,14,12,0,1
13,3,3,11,8,2,7,3,0,0,0,0,12,0,0
10,0,1,9,12,1,2,3,0,0,0,0,10,0,0
5,0,2,15,9,3,2,5,0,0,0,0,10,0,0
8,0,3,11,8,0,3,0,4,0,0,0,12,0,0
3,0,3,9,12,2,4,1,0,0,0,0,12,0,0
10,0,2,15,9,2,8,3,4,0,0,0,12,0,0
11,0,3,15,9,1,4,5,0,0,0,0,12,5,0
8,0,3,11,8,1,2,5,0,0,0,0,10,0,0
6,0,7,9,12,0,4,4,1,0,0,0,12,11,1
6,0,5,1,6,2,8,5,4,0,0,0,11,0,0
2,0,5,11,8,2,2,1,4,0,0,0,7,0,0
8,4,0,8,10,0,8,0,0,0,0,0,11,0,0
6,0,2,12,13,0,5,0,0,0,2,0,10,41,1
1,0,4,15,9,2,2,1,0,0,0,0,2,0,0
6,5,2,15,9,1,8,5,0,0,0,0,14,0,0
1,0,3,11,8,2,2,1,1,0,0,0,4,41,0
4,0,0,9,12,0,4,0,0,0,0,0,12,0,1
12,0,0,11,8,2,8,5,4,0,0,0,11,0,0
16,0,2,0,5,1,7,3,0,0,0,0,12,0,0
3,0,3,11,8,2,12,3,4,0,0,0,10,0,0
7,0,6,7,11,1,6,5,0,0,0,0,7,0,0
15,0,3,9,12,0,4,0,0,0,0,0,12,0,0
11,4,4,12,13,1,5,5,0,0,0,0,13,0,0
0,0,3,0,5,2,2,1,0,0,0,0,7,0,0
1,0,0,11,8,3,2,1,0,0,0,0,10,0,0
9,0,7,15,9,0,4,0,0,0,0,12,12,0,1
17,5,1,7,11,4,5,3,0,0,0,0,12,0,0
0,0,1,11,8,2,2,1,0,0,0,0,9,0,0
1,0,3,11,8,2,2,1,0,0,0,10,6,0,0
2,0,4,11,8,1,7,1,0,0,0,0,12,0,0
0,8,4,15,9,2,14,1,0,0,0,0,12,0,0
5,0,3,9,12,2,5,1,0,0,0,0,12,17,0
1,0,3,11,8,2,8,1,0,0,0,0,14,0,0
4,0,4,15,9,2,8,5,1,0,0,0,9,41,0
7,0,2,11,8,1,0,3,0,0,0,0,12,0,0
12,0,1,11,8,0,8,0,0,0,1,0,12,0,1
5,0,6,11,8,2,8,3,0,0,0,0,9,0,0
1,0,1,15,9,2,3,3,0,0,0,0,15,0,0
11,0,3,11,8,0,4,0,0,0,0,0,9,0,1
10,0,1,15,9,1,8,4,0,0,0,0,12,0,0
9,0,3,11,8,1,7,3,0,0,0,0,14,0,0
9,0,4,11,8,2,10,5,4,0,0,0,11,0,0
12,0,0,15,9,1,3,5,0,0,0,0,17,2,0
1,1,0,15,9,2,1,3,0,0,0,0,10,0,0
4,0,3,11,8,0,3,0,0,0,0,0,15,0,0
2,4,6,11,8,2,2,3,0,0,0,0,12,0,0
15,8,2,9,12,2,14,3,4,0,0,0,10,0,0
4,5,3,8,10,2,0,3,0,0,0,10,20,0,0
14,4,4,12,13,0,5,0,4,0,0,12,11,0,1
5,0,3,15,9,2,3,3,0,0,0,9,12,0,0
0,0,0,1,6,2,8,1,0,0,0,0,1,0,0
0,0,5,2,7,2,7,1,4,0,0,0,12,0,0
10,0,0,11,8,1,8,3,0,0,0,0,12,0,0
14,0,2,9,12,1,5,3,0,0,0,0,12,0,0
0,4,5,1,6,2,5,1,0,0,0,0,12,0,0
3,4,4,15,9,2,8,3,4,0,0,0,12,0,0
11,0,6,15,9,3,8,5,0,0,0,0,12,0,0
10,0,3,12,13,0,5,0,0,0,0,0,14,0,0
13,1,5,11,8,1,4,5,0,0,0,0,31,0,1
6,0,2,9,12,2,3,1,0,0,0,0,10,0,0
7,5,15,14,14,0,5,0,0,0,4,0,15,0,1
18,5,0,15,9,1,8,3,0,0,0,0,12,0,0
2,5,2,9,12,2,5,1,0,0,0,0,6,0,0
16,0,0,8,10,1,5,3,0,0,0,0,11,0,0
9,0,4,0,5,5,1,3,0,0,0,0,12,0,0
6,4,2,9,12,2,5,3,0,0,0,0,14,0,0
7,0,3,15,9,0,4,0,0,0,0,0,12,0,1
0,0,1,2,7,2,11,1,0,0,0,0,5,0,0
6,0,1,15,9,2,8,1,0,0,0,0,12,0,0
2,0,8,15,9,2,8,1,0,0,0,0,12,0,0
2,0,3,15,9,2,3,1,4,0,0,0,4,0,0
18,2,4,11,8,0,8,0,0,0,0,0,12,0,1
2,0,0,9,12,2,5,3,0,0,0,0,2,0,0
1,5,2,7,11,2,8,1,0,0,0,0,5,0,0
2,0,4,15,9,2,8,1,0,0,0,0,12,0,0
21,8,7,11,8,5,14,3,0,0,0,0,6,4,0
0,0,2,15,9,2,2,3,0,0,0,0,12,0,0
7,0,4,11,8,1,7,4,0,0,0,0,10,0,0
12,4,2,12,13,0,5,0,0,0,0,0,12,41,1
2,0,4,15,9,2,8,1,4,0,0,0,10,0,0
7,0,2,9,12,1,5,5,0,0,0,0,14,41,0
6,8,6,15,9,0,14,0,0,0,0,0,15,0,0
16,5,2,11,8,4,8,3,0,0,0,0,10,0,0
0,0,4,11,8,2,3,1,0,0,0,0,5,0,0
25,0,1,11,8,4,11,3,0,0,0,0,12,2,0
5,0,10,9,12,2,0,3,0,0,1,0,14,0,1
9,0,1,8,10,2,8,1,0,0,0,0,12,0,0
14,4,2,9,12,0,5,0,0,0,0,0,19,0,0
1,0,0,15,9,2,2,3,0,0,0,0,9,0,0
2,0,2,9,12,2,8,1,0,0,0,0,10,0,0
13,0,4,11,8,1,7,3,0,0,0,0,12,0,0
10,5,10,9,12,3,5,5,0,0,0,0,12,0,0
5,0,1,1,6,2,7,3,0,0,0,0,11,0,0
4,0,8,11,8,2,2,5,4,0,0,0,12,0,0
2,0,3,15,9,0,3,0,0,0,0,0,9,5,0
0,8,5,6,4,2,14,1,0,0,0,0,7,20,0
13,4,3,10,15,0,5,0,4,0,0,0,12,0,1
2,0,2,15,9,3,3,5,0,0,0,0,12,0,0
9,1,2,12,13,0,4,0,0,0,0,0,2,0,1
11,5,6,8,10,1,0,3,0,0,1,0,13,0,0
11,0,3,15,9,1,3,5,0,0,0,0,14,0,1
4,0,5,15,9,2,4,1,0,0,0,0,12,41,0
1,0,2,15,9,2,3,1,0,0,0,0,5,0,0
18,8,4,9,12,1,14,3,0,0,0,0,2,0,0
1,5,5,15,9,2,5,3,0,0,0,0,6,0,0
1,8,2,15,9,2,14,4,0,0,0,0,4,0,0
6,0,1,11,8,2,8,3,0,0,1,0,12,0,0
6,0,4,15,9,2,2,1,4,0,0,0,10,0,0
9,0,6,11,8,1,8,1,0,0,0,0,12,0,0
3,0,4,11,8,2,4,1,0,0,0,0,12,0,0
13,0,1,15,9,1,8,5,0,0,0,0,12,0,0
9,0,4,11,8,0,4,0,0,0,0,0,12,0,0
16,0,4,11,8,1,2,3,0,0,0,0,11,0,0
2,0,4,8,10,2,3,1,0,0,0,0,6,0,0
2,0,1,11,8,0,7,0,0,0,0,0,12,0,0
2,0,10,15,9,0,4,0,0,0,0,0,12,0,0
22,3,0,12,13,4,5,3,0,0,0,0,4,0,0
8,5,4,0,5,3,8,5,4,0,0,0,12,0,0
1,8,4,11,8,2,14,1,4,0,0,0,7,0,0
12,0,2,11,8,0,3,0,0,0,0,0,4,0,0
2,0,8,11,8,2,2,4,4,0,0,0,4,0,0
9,0,0,11,8,0,8,0,0,0,1,0,3,0,0
6,0,3,15,9,0,4,0,0,0,2,0,12,0,1
4,8,3,15,9,1,14,5,0,0,0,0,9,0,0
8,0,2,11,8,3,8,3,0,0,0,0,6,0,0
4,0,3,15,9,2,2,1,0,0,0,0,12,0,0
1,0,3,15,9,2,2,1,0,0,0,0,7,0,0
13,4,0,9,12,1,5,5,0,0,0,0,18,0,0
0,0,3,2,7,2,3,1,0,0,0,0,6,0,0
20,2,2,11,8,0,8,0,0,0,0,0,6,0,1
1,8,4,15,9,2,14,4,0,0,0,0,6,0,0
0,0,0,1,6,2,5,1,0,0,0,0,6,0,0
13,0,3,11,8,2,8,4,0,0,0,0,12,0,0
1,8,3,11,8,2,14,1,4,0,0,0,7,0,0
4,0,7,11,8,3,3,4,0,0,0,0,12,0,0
8,8,3,11,8,1,14,5,4,0,0,0,12,0,0
1,0,3,11,8,2,2,3,0,0,0,0,9,0,0
3,0,4,15,9,2,8,1,0,0,0,0,9,0,0
17,0,2,1,6,1,2,3,0,0,0,0,12,0,0
8,0,9,11,8,1,2,3,0,0,0,0,23,0,0
16,0,3,5,3,1,7,5,0,0,0,0,12,0,0
22,8,2,9,12,4,14,3,0,0,8,0,4,0,1
6,4,1,9,12,0,5,0,0,0,0,0,14,0,1
7,8,0,15,9,2,14,5,0,0,0,0,7,0,0
1,8,3,15,9,2,14,3,0,0,0,0,2,0,0
18,0,1,11,8,4,11,3,0,0,0,0,4,0,0
16,0,4,11,8,2,8,3,4,0,0,0,10,0,0
1,0,4,15,9,2,2,1,0,0,0,0,4,0,0
12,0,3,15,9,1,8,3,0,0,0,0,15,0,0
7,0,3,1,6,1,7,5,0,0,0,0,12,0,0
2,0,4,9,12,2,4,4,0,0,0,0,6,0,0
15,3,0,9,12,4,5,5,2,0,0,0,12,0,0
6,1,3,15,9,2,2,3,0,0,0,0,1,0,0
5,0,5,11,8,3,8,5,0,0,0,0,12,0,0
2,0,6,15,9,2,8,1,0,0,0,0,9,0,0
5,0,4,15,9,0,7,0,0,0,0,0,5,0,0
2,0,7,15,9,2,2,3,0,0,0,0,6,0,0
0,0,4,1,6,2,3,1,0,0,0,0,6,0,0
7,0,5,11,8,1,2,3,0,0,0,0,14,0,0
1,0,2,15,9,2,3,1,4,0,0,0,4,0,0
0,0,5,2,7,2,3,1,4,0,0,0,4,0,0
9,0,1,15,9,2,3,3,0,0,0,0,12,0,0
10,8,0,1,6,1,14,5,4,0,0,0,4,0,0
13,3,2,11,8,1,8,3,0,0,0,0,12,0,0
12,0,3,11,8,2,8,1,0,0,0,0,12,0,0
9,5,6,15,9,0,8,0,0,0,0,0,12,0,1
6,0,4,9,12,2,3,3,0,0,0,0,12,0,0
11,0,2,15,9,3,8,5,0,0,0,0,4,5,0
8,0,0,9,12,1,4,5,0,0,0,0,15,0,0
6,0,2,9,12,2,0,3,0,0,0,0,12,0,0
9,0,1,11,8,1,3,3,0,0,0,0,12,0,0
1,0,4,11,8,2,3,3,0,0,0,0,12,0,0
1,0,1,15,9,2,7,3,0,0,0,0,10,0,0
4,0,3,9,12,2,3,1,0,0,0,0,12,0,0
1,0,7,15,9,2,2,1,0,0,0,0,2,0,0
2,0,6,9,12,2,2,3,0,0,0,0,10,4,0
1,8,2,1,6,5,14,1,1,0,0,11,12,10,0
16,0,3,11,8,0,5,0,4,0,0,0,11,18,0
1,4,3,15,9,2,2,1,4,0,0,0,10,0,0
21,8,3,11,8,4,14,3,0,0,0,0,2,0,0
4,0,2,9,12,2,8,3,4,0,0,0,12,0,0
21,0,10,11,8,4,8,3,0,0,2,0,12,0,0
13,0,3,8,10,1,2,5,0,0,0,0,12,0,0
10,0,0,11,8,2,7,3,0,0,0,0,12,0,0
4,8,1,15,9,1,14,5,0,0,0,0,12,0,0
9,4,1,8,10,1,8,5,0,0,0,0,13,0,0
5,0,0,7,11,2,0,3,0,0,0,0,12,0,0
0,0,3,1,6,2,2,1,0,0,0,0,6,0,0
4,0,3,11,8,0,8,0,4,0,0,12,12,0,1
2,0,4,11,8,2,2,1,0,0,0,0,12,5,0
3,8,4,12,13,2,14,3,0,0,0,0,10,4,0
13,0,3,9,12,0,7,0,1,0,0,0,12,11,0
5,0,4,14,14,1,5,3,0,0,0,0,14,0,1
11,8,3,11,8,0,14,3,0,0,0,0,10,0,0
3,0,7,9,12,2,11,4,0,0,0,0,10,20,0
10,3,2,15,9,1,8,5,0,0,0,0,12,0,0
7,5,7,10,15,0,5,0,0,0,0,0,11,0,1
3,0,2,9,12,2,5,3,0,0,0,0,12,0,0
5,0,3,9,12,2,4,5,0,0,0,0,15,0,0
10,0,3,4,2,5,11,4,0,0,0,0,12,36,0
1,0,5,15,9,2,3,3,0,0,0,0,10,0,0
9,0,4,15,9,5,3,5,4,0,0,0,12,0,0
1,0,2,15,9,2,2,1,0,0,0,0,12,0,0
2,4,4,9,12,2,5,3,4,0,0,0,12,0,0
6,0,1,15,9,0,0,0,0,0,0,0,10,0,1
1,0,3,15,9,2,0,1,0,0,0,0,12,41,0
9,0,4,6,4,2,7,4,0,0,0,0,12,20,0
17,0,4,11,8,4,8,3,0,0,0,0,12,0,0
6,0,3,15,9,1,4,1,0,0,0,0,12,0,0
11,0,3,11,8,4,8,5,0,0,0,0,13,0,0
8,0,4,7,11,1,4,5,4,0,0,0,12,0,0
2,0,4,7,11,0,3,0,0,0,0,0,7,0,0
1,0,1,11,8,2,8,1,0,0,0,0,10,0,0
10,0,3,15,9,0,0,0,0,0,0,0,12,0,0
2,0,3,9,12,2,2,1,0,0,0,0,9,0,0
8,0,1,11,8,0,2,0,0,0,0,0,13,0,0
0,8,7,0,5,2,14,1,0,0,0,0,6,0,0
1,0,1,15,9,2,3,1,0,0,0,0,4,0,0
8,0,1,11,8,1,3,3,0,0,0,0,12,0,0
19,0,4,11,8,4,3,3,0,0,0,0,12,0,0
12,0,4,15,9,2,1,5,0,0,0,0,11,0,1
2,3,7,7,11,2,4,1,0,0,0,0,12,17,0
0,0,8,11,8,0,8,0,0,0,0,0,12,0,0
1,0,2,15,9,2,8,1,4,0,0,0,7,0,0
10,4,5,11,8,0,8,4,0,0,0,0,12,0,0
1,0,4,0,5,2,8,3,0,0,0,0,12,0,0
0,0,2,0,5,2,3,1,0,0,0,0,3,0,0
4,0,2,9,12,2,3,3,0,0,0,0,15,0,1
13,0,4,11,8,0,5,0,0,0,0,0,12,38,1
13,5,2,11,8,0,2,0,2,0,0,0,8,0,1
7,1,3,12,13,2,5,3,0,0,0,0,19,0,1
3,0,5,15,9,2,8,3,4,0,0,0,12,18,0
0,0,4,15,9,2,7,3,0,0,0,0,4,0,0
2,0,4,15,9,2,8,3,0,0,0,0,12,0,0
1,0,3,15,9,2,0,1,4,0,0,0,0,0,0
5,0,3,2,7,2,2,1,4,0,0,0,6,41,0
3,2,5,11,8,3,3,5,0,0,0,0,6,14,0
4,0,2,9,12,2,5,3,0,0,2,0,12,0,1
7,0,6,15,9,1,5,5,0,0,2,0,12,0,0
1,8,3,15,9,2,14,1,0,0,0,0,10,0,0
5,0,3,11,8,2,2,4,4,0,0,0,12,41,0
6,0,1,15,9,2,2,1,0,0,0,0,11,0,0
3,0,4,9,12,2,5,3,0,0,0,0,12,0,0
6,0,0,15,9,1,4,5,0,0,0,0,9,0,0
11,0,4,7,11,4,8,5,4,0,0,0,12,0,0
4,8,2,6,4,3,14,1,0,0,0,0,12,0,0
12,0,3,8,10,1,2,5,0,0,0,0,6,0,0
10,0,3,11,8,2,8,5,0,0,0,0,12,0,0
0,8,0,1,6,2,14,1,4,0,0,0,12,0,0
1,0,2,15,9,2,2,3,0,0,0,0,3,0,0
14,0,3,15,9,1,8,3,0,0,0,0,12,0,0
2,0,1,15,9,2,2,1,0,0,0,0,4,0,0
17,0,2,11,8,4,8,3,0,0,0,0,11,0,0
11,4,4,9,12,1,8,3,0,0,31,0,12,0,1
7,3,3,15,9,2,2,5,4,0,0,0,12,0,0
22,8,2,11,8,4,14,3,0,0,0,0,4,0,0
6,3,3,9,12,0,4,0,3,0,0,0,12,0,1
8,0,4,9,12,1,2,3,4,0,0,0,19,41,0
12,0,4,11,8,1,3,5,0,0,0,0,12,0,0
0,0,3,1,6,2,2,1,0,0,0,0,6,0,0
4,0,4,11,8,2,8,3,0,0,0,0,12,0,0
9,0,2,15,9,2,6,5,4,0,0,3,12,0,0
7,0,0,11,8,0,4,0,0,0,0,0,12,0,1
7,4,7,8,10,1,4,5,0,0,0,0,19,0,0
7,3,4,7,11,0,8,0,0,0,0,0,12,0,1
3,0,2,9,12,2,2,1,0,0,0,0,9,0,0
7,0,3,6,4,3,2,5,0,0,0,0,7,0,0
3,0,1,15,9,0,8,0,0,0,0,0,12,0,0
15,0,2,9,12,1,5,5,4,0,0,0,15,28,0
6,0,0,14,14,2,5,3,0,0,3,0,12,0,1
18,0,2,11,8,4,0,3,0,0,0,0,5,0,0
2,0,1,11,8,2,8,5,0,0,0,0,12,0,0
3,0,1,9,12,2,4,3,1,0,0,0,12,0,0
2,4,2,9,12,2,5,1,0,0,0,0,19,0,0
10,1,3,9,12,0,7,0,1,0,0,0,25,34,0
10,0,2,11,8,0,3,0,0,0,0,0,12,0,0
6,0,2,15,9,1,2,3,0,0,0,0,15,0,0
3,0,3,8,10,1,0,3,0,0,0,0,12,0,0
12,0,4,8,10,1,3,5,0,0,0,0,12,0,0
9,0,0,15,9,2,8,3,4,0,0,0,12,0,0
4,0,4,15,9,0,0,0,0,0,0,0,12,0,0
4,0,1,15,9,2,8,5,0,0,0,0,19,0,0
7,0,2,7,11,1,8,5,0,0,0,0,12,0,0
4,0,7,11,8,1,2,3,0,0,0,0,12,0,0
7,0,1,11,8,0,8,0,1,0,0,0,11,8,0
10,0,2,11,8,3,1,5,4,0,0,0,12,0,0
7,0,4,11,8,1,3,3,0,0,0,0,9,0,0
10,0,3,2,7,1,7,5,0,0,0,0,12,0,0
3,0,3,9,12,2,8,3,0,0,0,0,12,0,0
6,0,1,11,8,0,4,0,0,0,0,0,13,4,1
2,0,7,7,11,2,5,3,1,0,0,0,9,19,0
5,0,4,9,12,2,3,3,0,0,0,0,15,0,0
13,3,6,8,10,1,9,3,0,0,0,0,12,0,0
1,0,5,11,8,2,3,1,0,0,0,0,7,0,0
12,0,3,11,8,1,7,5,0,0,0,0,13,0,0
8,0,1,11,8,1,4,5,0,0,0,0,14,0,0
4,0,4,15,9,2,2,3,0,0,0,0,10,0,0
19,0,1,5,3,4,2,3,0,0,0,0,6,0,0
6,0,2,11,8,5,2,3,1,0,0,0,10,34,0
2,0,2,9,12,2,8,1,0,0,0,0,12,0,0
0,2,8,6,4,2,3,1,0,0,0,0,12,0,0
15,1,2,9,12,0,4,0,0,0,4,0,12,0,1
3,4,5,9,12,0,5,0,4,0,0,0,12,0,1
3,0,3,9,12,2,5,1,0,0,0,0,6,0,0
10,0,2,11,8,0,7,0,0,0,0,0,12,9,0
9,0,4,15,9,1,4,3,0,0,0,11,15,0,0
18,8,3,11,8,3,14,3,0,0,0,0,12,0,0
18,0,3,15,9,2,5,3,0,0,0,0,4,0,0
13,0,5,12,13,0,8,0,0,0,0,0,12,0,1
7,1,0,7,11,1,3,5,0,0,0,0,10,0,0
2,4,4,9,12,2,4,1,0,0,0,0,3,0,0
5,0,3,7,11,1,8,5,0,0,0,0,12,0,0
11,4,2,12,13,2,5,3,4,0,0,14,10,0,0
9,0,2,4,2,3,6,5,0,0,0,0,12,0,0
6,0,3,2,7,3,2,5,0,0,0,0,15,24,0
3,0,8,9,12,0,8,0,0,0,0,0,12,0,1
3,0,0,11,8,2,2,5,0,0,0,0,10,0,0
9,0,3,11,8,3,8,5,0,0,0,0,12,0,0
16,0,4,11,8,4,4,3,0,0,0,0,12,0,0
1,5,3,11,8,2,8,1,0,0,0,0,12,0,0
1,2,2,15,9,2,8,1,0,0,0,0,6,0,0
3,0,3,15,9,2,4,3,0,0,0,0,19,0,0
8,4,2,11,8,2,8,1,0,0,0,0,10,0,0
11,0,0,8,10,2,2,3,0,0,0,0,17,0,0
1,8,7,2,7,2,14,5,0,0,0,0,10,0,0
1,0,4,15,9,2,3,1,0,0,0,0,6,0,0
1,0,4,15,9,2,8,1,0,0,0,0,4,0,0
19,0,3,11,8,2,4,3,0,0,0,0,14,0,0
8,1,6,15,9,0,9,0,0,0,0,0,4,0,0
20,0,5,15,9,2,8,3,0,0,0,0,1,0,0
4,0,2,11,8,2,6,3,4,0,0,0,12,0,0
4,8,0,15,9,2,14,3,0,0,0,0,12,0,0
19,2,2,11,8,4,2,5,0,0,0,0,4,0,0
7,0,2,11,8,0,10,0,0,0,0,12,8,0,1
16,0,3,11,8,1,7,1,0,0,0,0,12,0,0
2,0,3,15,9,2,3,4,0,0,0,0,5,0,0
5,0,1,9,12,2,3,3,0,0,0,0,12,0,0
9,4,2,11,8,1,12,5,0,0,0,0,15,0,0
1,5,7,15,9,2,8,3,0,0,0,0,4,0,0
2,0,2,11,8,2,4,3,0,0,0,0,17,0,0
10,0,3,11,8,1,0,5,4,0,0,0,10,0,0
1,0,0,15,9,2,2,1,0,0,0,0,9,0,0
1,0,4,1,6,2,8,1,0,0,0,0,4,0,0
3,1,4,8,10,2,2,3,0,0,0,0,10,0,0
0,0,7,1,6,2,2,1,0,0,0,0,0,0,0
18,0,4,3,1,1,11,3,0,0,0,0,3,0,0
2,3,4,15,9,2,4,3,0,0,0,0,12,0,0
16,0,2,15,9,2,8,5,0,0,0,0,12,33,0
11,4,2,9,12,0,5,0,0,0,0,0,6,0,1
0,0,4,1,6,2,2,1,0,0,0,0,3,0,0
3,0,2,12,13,2,2,1,0,0,0,0,12,0,0
2,0,4,9,12,2,8,3,0,0,0,0,12,0,0
15,0,4,15,9,4,4,3,4,0,0,0,10,0,0
6,0,1,11,8,0,2,0,0,0,0,0,12,0,1
12,0,2,0,5,1,4,5,0,0,0,0,12,0,0
2,0,5,1,6,2,3,3,0,0,0,0,12,0,0
2,8,7,9,12,2,14,3,0,0,0,0,7,0,0
5,0,0,9,12,0,5,0,0,0,0,0,10,0,0
9,0,2,11,8,0,3,1,0,0,0,0,9,0,0
0,4,3,0,5,2,12,1,0,0,0,10,12,0,0
10,0,4,9,12,2,5,3,0,0,0,0,14,0,0
9,0,3,11,8,2,11,4,4,0,0,0,12,14,0
3,8,0,11,8,2,14,4,2,0,0,0,12,0,0
2,0,3,9,12,2,0,1,4,0,0,0,10,0,0
3,5,3,12,13,2,5,3,0,0,0,0,11,0,0
1,0,0,15,9,2,8,3,0,0,0,0,7,0,0
13,0,1,11,8,4,3,5,0,0,0,11,12,0,0
15,4,2,15,9,1,8,3,0,0,0,0,10,0,0
10,0,3,14,14,1,5,5,0,0,4,0,10,0,1
9,0,2,11,8,3,2,5,4,0,0,0,12,0,0
1,0,4,15,9,2,3,1,0,0,0,0,12,0,0
5,8,4,9,12,2,14,3,1,0,0,0,15,27,0
0,0,3,1,6,2,2,1,0,0,0,0,6,0,0
1,0,2,11,8,2,7,4,0,0,0,0,12,0,0
9,0,3,15,9,0,2,0,0,0,0,0,7,0,0
0,8,1,11,8,2,14,1,0,0,0,0,6,0,0
8,0,2,9,12,0,5,0,0,0,2,0,10,0,1
1,0,9,11,8,2,3,1,0,0,0,0,2,20,0
8,3,4,7,11,2,8,5,0,0,0,0,12,0,0
18,8,3,5,3,4,14,3,0,0,0,0,0,0,0
16,0,6,15,9,1,0,3,0,0,2,0,15,0,0
6,0,2,11,8,3,7,3,0,0,0,0,12,0,0
3,0,2,15,9,2,4,3,0,0,2,0,14,0,1
7,0,2,12,13,2,5,3,0,0,0,0,10,0,0
1,0,1,15,9,2,7,1,0,0,0,0,12,0,0
1,0,2,11,8,2,8,4,0,0,0,0,14,0,0
5,0,4,15,9,1,8,5,4,0,0,0,12,0,0
3,8,5,1,6,1,14,5,0,0,0,0,12,0,0
6,0,4,9,12,2,3,3,0,0,0,0,15,0,0
